Symbol,GSM890128,GSM890129,GSM890130,GSM890131,GSM890132,GSM890133,GSM890134,GSM890135,GSM890136,GSM890137,GSM890138,GSM890139,GSM890140,GSM890141,GSM890142,GSM890143,GSM890144,GSM890145,GSM890146,GSM890147,GSM890148,GSM890149,GSM890150,GSM890151,GSM890152,GSM890153,GSM890154,GSM890155,GSM890156,GSM890157,GSM890158,GSM890159,GSM890160,GSM890161,GSM890162,GSM890163,GSM890164,GSM890165,GSM890166,GSM890167,GSM890168,GSM890169,GSM890170,GSM890171,GSM890172,GSM890173,GSM890174,GSM890175,GSM890176,GSM890177,GSM890178,GSM890179,GSM890180,GSM890181,GSM890182,GSM890183,GSM890184,GSM890185,GSM890186,GSM890187,GSM890188,GSM890189,GSM890190,GSM890191,GSM890192,GSM890193,GSM890194,GSM890195,GSM890196,GSM890197,GSM890198,GSM890199,GSM890200,GSM890201,GSM890202,GSM890203,GSM890204,GSM890205,GSM890206,GSM890207,GSM890208,GSM890209,GSM890210,GSM890211,GSM890212,GSM890213,GSM890214,GSM890215,GSM890216,GSM890217,GSM890218,GSM890219,GSM890220,GSM890221,GSM890222,GSM890223,GSM890224,GSM890225,GSM890226,GSM890227,GSM890228,GSM890229,GSM890230,GSM890231,GSM890232,GSM890233,GSM890234,GSM890235,GSM890236,GSM890237,GSM890238,GSM890239,GSM890240,GSM890241,GSM890242,GSM890243,GSM890244,GSM890245,GSM890246,GSM890247,GSM890248,GSM890249,GSM890250,GSM890251,GSM890252,GSM890253,GSM890254,GSM890255,GSM890256,GSM890257,GSM890258,GSM890259,GSM890260,GSM890261,GSM890262,GSM890263,GSM890264,GSM890265,GSM890266,GSM890267,GSM890268,GSM890269,GSM890270,GSM890271,GSM890272,GSM890273,GSM890274,GSM890275,GSM890276,GSM890277,GSM890278,GSM890279,GSM890280,GSM890281,GSM890282,GSM890283,GSM890284,GSM890285,GSM890286,GSM890287,GSM890288,GSM890289,GSM890290,GSM890291,GSM890292,GSM890293,GSM890294,GSM890295,GSM890296,GSM890297,GSM890298,GSM890299,GSM890300,GSM890301,GSM890302,GSM890303,GSM890304,GSM890305,GSM890306,GSM890307,GSM890308,GSM890309,GSM890310,GSM890311,GSM890312,GSM890313,GSM890314,GSM890315,GSM890316,GSM890317,GSM890318,GSM890319,GSM890320
MT1G,14.44209092,14.41917032,14.09112382,14.39518867,14.21803791,13.9678998,14.308557,13.69731582,14.34930068,14.25116683,7.568990083,14.39518867,14.44209092,13.08048709,14.20258868,14.10937488,14.308557,13.84937325,14.47060084,14.53423862,14.28988044,14.308557,13.87990352,13.98560803,14.21803791,14.32740642,14.47060084,13.59031573,14.18363611,14.28988044,14.27117145,13.89852554,13.60277654,14.39518867,14.18363611,14.32740642,13.80537116,14.308557,14.47060084,14.47060084,13.40335157,13.83437167,13.98560803,13.67095946,14.27117145,14.39518867,14.14543148,13.60277654,13.41350245,13.87990352,14.09112382,14.44209092,14.28988044,14.32740642,14.20258868,14.37122228,14.18363611,13.76026555,14.14543148,14.16346423,14.34930068,13.47431072,14.14543148,14.03784698,14.03784698,13.65559595,13.80537116,14.05417949,13.9678998,13.87990352,14.28988044,14.39518867,14.41917032,14.39518867,14.2340607,14.05417949,13.64300279,14.28988044,13.68415929,14.21803791,14.12812953,13.89852554,13.83437167,14.37122228,14.0199876,14.41917032,14.16346423,14.34930068,14.5647603,14.47060084,14.16346423,13.35366581,13.76026555,14.0199876,14.25116683,13.42503637,14.27117145,14.16346423,14.03784698,14.41917032,14.34930068,13.86517288,14.49961834,14.47060084,13.80537116,14.2340607,14.41917032,14.28988044,14.37122228,14.37122228,12.24252158,14.44209092,13.89852554,13.36310831,14.47060084,14.00351868,14.21803791,14.308557,13.83437167,13.71364053,7.224289827,14.44209092,14.10937488,14.39518867,14.16346423,13.81974006,14.49961834,14.34930068,14.28988044,14.39518867,13.83437167,14.39518867,14.27117145,13.84937325,14.20258868,14.47060084,13.95010786,13.81974006,14.10937488,14.39518867,14.0199876,14.03784698,14.03784698,13.48543163,14.60486269,13.16145339,14.47060084,13.87990352,14.28988044,13.87990352,14.14543148,14.60486269,14.0199876,14.41917032,14.39518867,14.07350451,14.25116683,13.83437167,14.64921265,14.308557,14.28988044,14.47060084,14.25116683,14.18363611,13.57836863,14.21803791,13.76026555,14.32740642,14.14543148,14.07350451,14.41917032,14.10937488,14.5647603,13.86517288,13.9678998,13.64300279,14.10937488,13.81974006,14.41917032,14.2340607,13.86517288,14.25116683,13.47431072,13.84937325,13.60277654,14.60486269,12.68235513,14.308557,14.47060084,14.308557,14.39518867,14.05417949,14.21803791
HAMP,14.18363611,13.61638631,13.22108846,13.84937325,13.93195483,13.74438467,14.05417949,13.42503637,13.9678998,12.44149144,9.675177059,13.65559595,12.82775516,14.21803791,12.43253718,14.0199876,14.34930068,13.9678998,13.87990352,13.18961024,14.10937488,14.32740642,14.18363611,14.09112382,14.07350451,13.729339,13.91488379,13.67095946,14.12812953,12.90682803,13.95010786,13.67095946,13.74438467,13.56549494,13.28564894,8.297899857,13.86517288,12.99879916,13.91488379,13.83437167,13.46351081,13.95010786,13.06613143,14.308557,14.308557,13.83437167,13.16145339,9.806276824,13.62883519,12.94333575,11.98526342,14.05417949,13.62883519,13.86517288,13.67095946,13.84937325,13.93195483,13.59031573,13.54318584,14.39518867,12.88869285,14.0199876,13.77378769,13.22108846,13.64300279,14.32740642,13.64300279,13.22969685,13.69731582,13.68415929,10.97764326,11.71141513,13.69731582,13.51781591,13.22969685,13.18961024,14.0199876,13.47431072,13.91488379,13.32662691,13.31829501,10.31048472,13.47431072,13.91488379,13.84937325,10.25883571,13.62883519,10.35468678,9.909683199,13.68415929,13.98560803,14.16346423,13.61638631,13.67095946,13.41350245,9.924876024,13.59031573,10.44382722,13.67095946,12.47412904,14.16346423,14.09112382,13.7897843,13.50640768,13.81974006,13.81974006,13.95010786,13.9678998,14.09112382,13.08701531,8.593981976,13.87990352,14.0199876,13.65559595,9.412710071,13.98560803,12.4005607,13.65559595,12.17822593,6.857409258,8.736096626,12.7874966,12.37468129,13.50640768,13.08048709,13.28564894,13.81974006,12.99249425,14.00351868,14.28988044,13.60277654,12.2220724,11.54861437,13.91488379,14.14543148,13.12937693,13.62883519,13.95010786,13.41350245,13.62883519,13.91488379,13.98560803,13.86517288,13.9678998,13.98560803,7.684999956,14.0199876,13.95010786,12.94885385,13.38327939,13.84937325,14.25116683,12.7723736,13.46351081,7.258469695,13.98560803,13.60277654,13.65559595,13.71364053,13.65559595,14.37122228,13.61638631,13.84937325,13.42503637,9.779356547,13.84937325,13.64300279,12.93769178,13.729339,14.18363611,7.105098773,14.27117145,13.77378769,13.74438467,13.44401342,13.83437167,13.54318584,11.88943176,14.28988044,13.46351081,12.41036604,12.38757796,13.13785382,14.07350451,13.76026555,14.03784698,13.57836863,13.83437167,13.26075136,13.95010786,13.77378769,13.95010786,7.468893409
MT1F,13.16145339,12.63288357,13.33516208,13.40335157,12.4144471,12.25492201,12.94885385,11.92213209,12.40528582,12.69232141,7.123792873,13.06613143,13.18961024,10.95699057,12.40528582,12.77713657,13.03232559,12.5841217,13.32662691,13.01193437,12.88256848,12.64737074,11.90949407,13.02601913,12.6275518,13.36310831,13.69731582,11.54861437,12.63794856,12.80426996,12.61763563,12.51633457,12.39631495,13.55419679,12.99879916,13.36310831,12.1069613,13.268805,12.61763563,12.63794856,11.78889127,12.67255116,12.29163659,11.90616113,12.91277898,13.08048709,12.7874966,11.50386613,11.83665689,12.7874966,12.7927234,13.28564894,12.60341156,11.80419988,13.18961024,13.55419679,12.18210757,11.80118894,12.88256848,13.0530641,13.22969685,11.50650564,12.61763563,12.56408499,11.85637295,12.18962455,12.31956435,12.31153319,12.47412904,12.17822593,12.62226742,13.5302892,13.03915965,13.21338175,13.35366581,12.35633997,11.88642125,13.16145339,12.3832945,13.06613143,13.0051726,12.16220058,12.44149144,12.8609055,12.38757796,13.18235189,12.3832945,12.86629027,13.49626879,13.40335157,12.32797414,11.92552084,12.23802581,12.46536707,13.12937693,11.03737862,12.94333575,12.73374335,12.26755348,13.13785382,12.84964645,12.37038846,13.68415929,12.96076932,12.13875013,12.81542011,13.12189946,13.22108846,13.01814564,12.8609055,9.786025441,13.18961024,12.46963345,11.75312737,13.18961024,12.5893446,12.70292015,12.66686428,12.6275518,12.0533186,7.635822266,13.39245358,12.33218565,13.25303578,12.84392646,12.8609055,13.64300279,13.50640768,13.17496129,12.97930684,12.44149144,13.18961024,13.0051726,11.57008775,12.95476601,13.56549494,12.17426196,12.3832945,12.84964645,13.28564894,12.82124496,12.54511388,12.6079831,11.22013638,13.44401342,12.04278785,13.55419679,11.94996653,12.8096523,12.15077571,12.46090975,13.55419679,12.60341156,13.62883519,13.39245358,12.73374335,12.91277898,12.91939439,13.57836863,12.8096523,13.06613143,13.22969685,13.17496129,13.03232559,11.70566518,12.95476601,12.71359242,13.20625455,13.23706274,13.3015507,13.22969685,12.27964385,13.89852554,12.48280809,12.53112742,12.17426196,12.91939439,12.03938617,13.39245358,13.38327939,13.03232559,13.12189946,11.72923544,12.44149144,11.99581275,13.46351081,11.52744449,13.16840306,13.17496129,13.59031573,13.51781591,12.81542011,13.22108846
FCN3,11.69989382,12.94333575,11.90949407,13.10172185,12.18210757,12.79826749,12.87191063,12.88869285,12.73374335,13.22108846,11.42767783,11.57592423,11.74096955,12.69232141,13.68415929,12.39229116,12.31956435,11.75907307,12.6275518,12.91277898,13.41350245,12.96785755,13.268805,12.84964645,12.59409953,11.91933364,11.99947376,12.96076932,12.8609055,12.2300226,12.8096523,12.24252158,11.26919796,13.18961024,13.08048709,12.0497496,12.01826088,12.5893446,12.73374335,13.54318584,11.78588804,12.8609055,12.60341156,12.61294199,12.88256848,12.76579668,12.29545823,12.70814773,11.86313194,12.48789106,12.25878431,13.27694434,11.5997474,12.31530836,12.51633457,12.38757796,12.5893446,12.7927234,11.73212469,12.24252158,12.5544025,11.87698928,12.82124496,11.3826682,12.97367658,11.87698928,12.41036604,12.33218565,11.95650705,12.31153319,12.52138044,12.98563354,12.46090975,11.172502,12.51142274,12.45593181,12.56408499,11.73212469,12.07236703,13.21338175,12.39631495,13.16145339,12.7723736,12.31530836,12.49243536,12.34419261,12.80426996,12.06104762,13.33516208,12.76579668,13.10835644,12.63794856,11.46819369,13.12937693,12.66686428,12.52631447,12.8609055,12.38757796,12.43253718,12.42776876,12.6275518,11.87698928,12.84392646,12.17426196,12.94333575,12.56924534,13.31018278,12.64241176,12.84392646,12.45153769,7.751017695,11.45307292,11.43259131,12.13074919,13.27694434,11.73796695,11.65312439,12.80426996,12.75007265,11.33571462,9.855200838,11.50386613,12.64737074,11.20591541,11.58126694,12.91277898,11.82667422,12.18962455,12.39631495,12.24252158,11.90949407,12.68235513,12.3832945,12.54511388,12.46963345,13.12189946,12.8609055,12.35633997,12.99879916,12.4144471,12.4144471,12.1069613,12.68235513,12.11083683,13.26075136,11.15409734,13.34380302,11.36460257,13.22969685,12.19360392,12.61294199,12.30379744,12.22630555,12.01101598,12.11849495,13.0051726,12.71359242,13.02601913,12.88869285,11.19923489,11.96759081,12.55928978,12.17426196,13.268805,12.61763563,12.24252158,11.02879075,11.84013004,12.87743504,13.13785382,11.98852485,12.33652662,12.84392646,12.88869285,12.14700767,13.09431936,12.28379662,12.64737074,12.38757796,12.66175356,12.32797414,12.97367658,12.50622422,12.84392646,12.64241176,12.73374335,12.09916468,11.76194867,12.37038846,13.08048709,11.48657207,13.31829501,12.25878431
CYP3A4,11.76351292,11.04975033,12.27563224,12.63288357,12.31153319,11.37757302,10.56451423,11.31611399,11.19710698,11.11785583,8.737290341,12.26755348,12.01446435,11.51665085,9.576364395,11.14511238,12.65722992,11.96405871,12.27146856,11.59437161,11.18089457,10.93247941,10.31485188,11.57301777,12.80426996,11.99241013,12.43253718,9.891969754,10.965306,11.95980689,12.08710956,12.64737074,12.14282046,11.77088733,12.50622422,12.53112742,11.88943176,11.61609716,11.50650564,10.36835651,12.4144471,12.42378529,10.86046475,12.46536707,11.90261732,12.07601536,13.18961024,12.96076932,12.24685339,12.13074919,11.81053719,11.5997474,11.83308903,11.41507367,11.60516171,12.07946728,12.20999009,11.95980689,13.13785382,12.19360392,12.26306263,12.44639133,11.91933364,11.71478898,11.15409734,10.37007109,12.37468129,11.87049111,12.54048129,11.00789145,11.57008775,12.03284326,12.44149144,12.69783408,12.20190632,11.20819939,11.9747105,12.55010372,11.47315382,12.37890743,11.96405871,11.94663815,11.08282659,12.08288155,12.09088753,13.24474657,12.34419261,13.13785382,13.11549779,11.23913518,11.98526342,11.86658099,11.96405871,12.07601536,11.78588804,13.25303578,11.90261732,11.87049111,11.71995821,13.11549779,11.88026297,12.48280809,12.0214093,12.7874966,11.92213209,11.31859432,10.17461571,12.48280809,11.71141513,13.23706274,10.53825127,11.37757302,12.45153769,11.59152307,12.32394038,12.49705293,12.87191063,12.62226742,13.03232559,12.47846847,6.997467503,12.70814773,12.01101598,12.62226742,12.23411342,12.59879676,12.02933433,12.17426196,12.51633457,12.84964645,11.87360199,12.93157029,12.93769178,11.42261704,12.14700767,12.7286507,12.24252158,12.25073527,11.69370282,11.39248126,12.07601536,12.53575173,12.5544025,11.34542351,12.42378529,12.41878507,10.74253022,12.59409953,11.08903023,12.39631495,12.53112742,12.91939439,12.94333575,12.94885385,11.73518576,12.2220724,12.93769178,12.26306263,12.61763563,12.70814773,12.41036604,12.25073527,12.4005607,12.00361822,12.37468129,12.29163659,11.77986255,12.43253718,12.82124496,10.9221858,12.86629027,11.2104004,11.94311022,12.14700767,11.16777236,11.99241013,12.70814773,11.73796695,12.65187678,12.96076932,12.48789106,12.43253718,12.54048129,11.82667422,12.14282046,13.10835644,12.83844289,12.66175356,12.07236703,11.03737862,12.7927234,12.82124496,13.0051726
MT1H,12.73374335,12.54048129,12.63288357,12.74458381,12.1582267,10.7065501,11.76785821,9.86806422,11.52744449,12.31153319,5.73263172,12.88256848,12.96785755,10.36214385,12.11083683,11.84688087,12.26755348,11.57008775,12.91277898,12.39229116,12.31530836,12.50622422,11.63086716,11.6967373,12.09916468,12.79826749,13.45388931,10.55168729,11.68172924,12.17822593,11.53779517,10.94639145,11.03970602,13.16145339,11.5997474,12.90106325,10.9385289,12.66175356,12.06489037,12.64241176,10.61599474,11.40728205,12.12218819,10.8508896,12.20999009,12.28741956,11.96759081,10.65778815,10.87089895,11.36708748,11.82380316,13.21338175,11.77354321,12.10324595,12.72347937,13.64300279,12.25073527,11.30624355,12.45153769,12.35199902,13.05976811,11.172502,12.02520096,11.80419988,11.61609716,11.57301777,11.73212469,12.0497496,11.77651385,11.59728516,12.57379886,13.13785382,13.29298687,12.96076932,12.68723766,12.07601536,11.08496361,12.5544025,11.2579634,12.92593668,12.37038846,11.52463897,11.50147989,12.91277898,12.53112742,12.90682803,12.82124496,13.12937693,13.45388931,12.63794856,12.29545823,11.22971996,11.61070088,12.46963345,13.18961024,10.95904937,12.71359242,12.61294199,11.99241013,12.70814773,13.12189946,11.6967373,13.86517288,12.93157029,12.30379744,12.53112742,13.3015507,12.76068459,12.91277898,12.42776876,7.615967745,13.28564894,11.40728205,10.58822369,13.28564894,11.91933364,12.86629027,12.66175356,11.61070088,11.19257918,6.122243407,12.90682803,12.48789106,13.34380302,11.94663815,11.93591359,13.38327939,13.02601913,12.76579668,12.7286507,11.81410277,12.57379886,12.20190632,11.65886279,12.64241176,13.35366581,11.76785821,11.64740119,12.70814773,13.17496129,12.4005607,11.70825336,11.79819791,10.79831742,13.16145339,10.19118908,13.10172185,11.4456492,12.1582267,11.08707788,12.8948257,13.60277654,12.08288155,13.268805,13.20625455,11.94311022,12.15442145,12.13074919,13.65559595,12.23411342,12.94333575,13.36310831,12.75538056,13.0530641,11.71737444,12.6079831,11.57592423,13.41350245,11.61333386,12.5841217,12.54511388,12.08710956,12.71359242,10.54850248,11.07824864,10.21027473,11.38516779,10.80597099,12.33218565,12.57379886,11.97828397,12.35199902,11.4456492,12.46090975,10.89364115,13.01193437,9.228248669,12.12648414,12.81542011,12.66686428,12.57379886,11.5997474,12.17822593
CYP1A2,13.40335157,9.725405608,13.07284512,13.03232559,12.09088753,11.32358087,12.46536707,13.05976811,12.20190632,12.49705293,6.00054051,12.7927234,11.59437161,11.9159612,10.15444369,12.48789106,13.12189946,12.64737074,12.59409953,12.3832945,12.99249425,12.27964385,12.39631495,12.5544025,11.8595725,12.38757796,12.95476601,12.04278785,11.58381602,12.71359242,12.6275518,12.66175356,13.50640768,12.46090975,13.32662691,12.62226742,13.29298687,12.71359242,11.30125773,11.78588804,12.72347937,12.95476601,11.29469754,11.64188887,13.0530641,13.11549779,12.83344318,11.16563088,12.42378529,10.81768341,12.21411221,12.47846847,12.13466491,13.31018278,11.98526342,12.2300226,12.11083683,12.65187678,13.05976811,12.94885385,11.87049111,11.83308903,10.37285714,10.89572232,11.94311022,12.24685339,12.64241176,12.03284326,12.71856849,11.22290377,12.19729292,12.4005607,11.11329359,12.75538056,12.65187678,10.72422953,12.84392646,12.99249425,12.53112742,10.07905422,12.09500918,11.58126694,12.51633457,11.51424151,13.26075136,12.28379662,13.15405028,12.7286507,12.19360392,12.56408499,13.03915965,12.87191063,12.11849495,11.96405871,12.04607349,10.34574534,12.25492201,12.55010372,11.01400384,13.46351081,12.49243536,12.11849495,11.6967373,12.90682803,14.0199876,10.82956281,12.87191063,12.59879676,12.12648414,12.3832945,6.144337219,11.92552084,11.47576896,12.57379886,12.53575173,13.41350245,13.41350245,13.13785382,11.46541906,12.32394038,5.960023568,12.73862533,12.54511388,13.10172185,12.50162152,13.25303578,12.29545823,12.4005607,12.53112742,13.18961024,11.97828397,12.67255116,12.33652662,11.66162667,12.91277898,12.99249425,11.90616113,12.43692094,12.23802581,12.4005607,13.08701531,11.97101564,12.61294199,11.34056446,13.03232559,11.88026297,11.99947376,13.36310831,11.70566518,12.12218819,13.62883519,13.35366581,13.10172185,13.09431936,11.45058413,12.67255116,13.03232559,12.64737074,12.84964645,12.98563354,12.18210757,12.28741956,13.19839656,12.57873157,12.82775516,13.08048709,12.55010372,12.88869285,12.7286507,13.61638631,12.59879676,12.39229116,12.04278785,11.80731835,13.37317483,12.96076932,13.67095946,13.03915965,13.11549779,13.20625455,12.37890743,12.20603237,12.72347937,12.51142274,12.4144471,13.42503637,12.13466491,13.34380302,13.08701531,11.75625722,12.06489037,11.88026297,13.0530641
SPINK1,6.261447138,7.38137308,6.365406114,6.250232704,6.623282135,7.751842054,5.933722036,9.136390106,6.398696818,8.533145827,11.50147989,6.88424544,8.676929095,9.09099397,7.156221763,5.98037387,6.550028851,6.724774794,8.284790177,6.395164343,7.727090909,8.78380986,6.22171419,6.415470708,6.37165284,7.455415537,6.393112141,9.656178474,6.199445706,6.015495023,6.034989218,6.174127202,8.990862186,12.68723766,6.977814236,6.722269751,8.904817246,7.110099688,5.886569122,6.072056162,6.378811547,5.991871314,10.73861457,6.270915789,6.238687489,6.35383225,6.07925636,9.262688404,7.433860859,6.014525258,6.254086787,7.645507606,6.072410858,6.775039827,5.835368184,6.479954647,7.588646766,6.002269578,7.984879419,8.508221574,6.007035805,7.998801212,9.823058014,10.77731991,6.52320268,6.66451244,6.653680902,6.627886727,7.532585919,5.822517284,7.187314603,10.63867658,6.641622079,6.272946236,8.504442233,7.114160358,6.03104982,7.218958433,6.308971032,8.280543103,6.944268023,8.293259062,6.28253276,6.210896871,6.98561324,6.243472435,5.950601667,6.380628887,6.458338547,7.077775109,6.138621323,6.707657725,6.547103222,5.995571725,6.431680955,9.273998627,6.297386261,6.445561791,6.328070786,5.808815024,6.39757151,7.137817395,6.157800735,8.463194202,6.029151059,7.525679382,6.116103069,6.162293284,5.987434243,7.54384067,6.444978533,6.095036224,10.10150501,7.187314603,6.026672344,7.569227378,7.42983699,6.590008736,5.813308672,6.160347188,11.03507755,6.418233783,7.479934148,6.064500853,7.47195983,7.907660893,6.13501177,6.039275651,6.032764303,8.212399965,6.169895501,6.188605201,7.436560653,6.415171579,6.263837344,8.194141766,6.32528183,6.71029687,7.318383945,5.773224151,6.589541188,6.419460002,6.483922054,6.297980835,7.892352813,8.070021493,11.64464214,7.014403952,6.861251326,7.373759547,6.296714381,7.355676439,5.925920321,6.628625469,6.479406956,6.770994746,7.056734266,6.671679647,5.893482633,9.138519405,7.592922117,6.981302201,6.190598478,10.12583837,7.449568499,6.117367789,7.431549425,8.83049891,9.301185729,11.28098278,6.674370375,10.63867658,6.356939734,5.964372296,6.214646331,9.451808915,6.558452719,7.044487643,5.984587024,11.03737862,6.362128291,10.53483073,6.970442046,6.68704101,6.730908859,8.275252618,7.34443413,7.902261153,6.082004547,7.298017633,6.196392154,6.489767185,6.195400011
AKR1B10,6.961330871,10.86659579,6.042769197,6.54014684,8.289906515,6.535016972,7.832655878,7.441318233,6.854674409,10.86659579,8.289906515,6.114586672,6.368582875,6.689092017,8.034324761,5.98998422,7.048476585,6.892251804,6.683488739,7.719532749,7.69973686,7.610307766,8.110513502,8.379477556,5.806538882,6.51293704,7.26822661,12.18210757,7.313135296,5.964766613,6.460786787,5.996756937,9.093155622,8.161751482,6.350882332,6.588623861,9.404195486,6.008219835,5.981669159,9.154462933,6.024266696,6.427502392,7.742783706,6.147012847,6.123480737,5.9034974,6.08644674,8.611344085,9.708611141,8.200552181,6.149803905,5.978256961,6.067740996,8.495250175,6.099764061,7.455415537,7.954107884,5.93572122,7.035352851,6.751575411,9.244185848,6.215688211,5.930294234,11.37757302,9.910776664,6.511755881,6.936577825,6.725528795,6.587263704,6.666461107,6.847602237,6.384443242,5.908428738,6.065585084,5.970907491,7.712949329,7.248380832,7.868596398,9.307658775,6.349406036,6.565285852,7.081897895,6.514417344,5.944756503,9.496944998,6.008868342,7.488359639,6.509181122,8.444121399,6.895777604,7.500924442,7.436989265,9.634565281,9.232112798,6.168544604,8.415840647,5.876552605,7.8517327,8.602297166,5.986734827,8.428700644,7.4659637,7.453780759,6.990012206,9.226744445,6.062425588,9.195542287,6.510261848,6.414677022,7.270383667,9.42517304,9.850420186,9.547862026,9.866896578,5.867654725,6.438599056,6.195364186,5.948856804,6.071205966,5.919705868,12.03938617,5.939722121,6.704998077,6.29356003,6.622209484,7.04534076,9.391234831,6.710746516,6.27832536,8.088542289,7.830291609,6.747843463,6.005138144,7.12180189,7.937404355,6.494141848,6.426812838,6.696125508,7.340920888,8.44551514,7.277502445,9.944992165,8.632235152,8.143120963,6.294446943,6.229290846,8.837394797,8.067411318,10.78666166,6.270451071,6.217316338,6.118567463,6.196182914,6.564135141,6.292413336,8.219806827,7.627100187,6.707431773,5.918608771,7.853553788,6.625766984,5.858414604,6.845181213,6.32452073,6.194280438,6.718534803,8.656685771,6.21049385,5.713809432,8.754500704,6.026018868,7.306627312,6.070527071,6.488933307,6.513891855,10.55001237,6.552190279,6.750801535,6.698567198,6.317238337,6.162442941,6.475177939,6.180566281,7.635564762,10.88927902,9.821842172,8.662613447,6.993479662,6.091733668,8.074072975,5.82151228,7.472601001,6.034100155
GPC3,5.694316054,7.637423666,6.131884308,5.81123092,5.970121982,6.216816034,6.147795807,6.156750228,5.885731714,7.038011145,8.600810797,6.4113731,5.86412126,6.253169193,7.635822266,5.81634688,6.07920828,5.844655577,6.089483624,6.260849551,6.125286703,6.049721463,6.155515523,7.285704878,6.361234372,5.934007452,5.920656115,6.816969784,5.990250996,6.020683146,5.997747592,5.686265122,6.249274267,6.335449517,5.8537929,6.420518939,6.872656115,5.978922523,5.936912132,7.482362735,6.024107818,5.849952592,6.452655826,5.681645683,5.971466203,5.667062278,6.085200685,6.994810861,6.706654588,6.803914315,6.30063596,5.80253633,6.093623243,6.204054686,6.846834947,6.221815015,6.847698928,6.049060216,6.315191711,6.000922848,6.051199332,5.764952205,5.50557719,6.675642923,7.396668417,6.064157309,5.875404424,6.169325788,5.861088432,6.97608244,6.77044865,6.006643538,5.623744898,5.813917341,5.84968251,5.982227138,6.022875289,5.947003482,6.149919754,6.157359505,6.118995143,6.473913811,6.377987745,5.702729529,6.221079369,5.862763698,6.122201815,5.999049966,5.727732698,5.997130548,6.157959812,6.42377357,6.58820168,6.191501009,6.39441523,7.381752923,5.922850793,5.918443085,6.046876989,5.769540299,6.546012063,5.957848416,5.878751402,5.645763404,6.459082011,5.897860501,6.418514025,6.189238551,6.415399236,6.892135333,5.955587766,5.743893842,6.000164578,7.376467135,6.16920793,5.667538583,5.822176168,5.921606623,5.748773437,6.625532918,12.66686428,5.732895621,6.02596527,5.661087594,6.39471521,5.987961516,6.173937312,6.376301099,6.284258431,5.999397333,6.010603929,6.142255855,5.885565221,6.368003281,5.765256156,5.73256294,7.111329834,6.129968622,6.290417767,6.676289036,5.951052637,6.949900027,6.226462151,6.278654296,5.811513158,6.177774692,6.453287715,5.876146563,7.666131128,5.797155178,5.704676233,5.702457184,5.893030919,5.85818847,5.996811628,6.141347512,5.822118758,6.478737136,5.989768666,6.252560778,6.281082563,6.181292718,6.096386387,7.248380832,6.035727282,6.108691974,6.355637993,6.185478354,8.02979321,6.352437891,6.178904896,6.83582032,6.008317891,5.949392933,6.48987982,6.717138825,6.025495477,5.865695993,5.875746187,5.998734998,5.695192294,5.946547446,5.973277831,6.843822275,7.618483292,6.08208881,7.697565851,7.050700427,5.650393102,7.12180189,6.189749261,6.823285492,5.739438089
